id,NAME,YEAR,REQUIRE,CATEGORY,TERM
1,Pháp luật đại cương,1,1,Đại cương,1
2,Vi tích phân 1B,1,1,Đại cương,1
3,Thực hành Vi tích phân 1B,1,1,Đại cương,1
4,Vật lý đại cương 1 (Cơ - Nhiệt),1,1,Đại cương,1
5,Giới thiệu ngành Vật lý,1,1,Đại cương,1
6,Thể dục 1,1,2,Đại cương,1
7,Anh văn 1,1,2,Đại cương,1
8,Triết học Mác - Lênin,1,1,Đại cương,2
9,Kinh tế chính trị Mác - Lênin,1,1,Đại cương,2
10,Hóa đại cương 1,1,1,Đại cương,2
11,Vi tích phân 2B,1,1,Đại cương,2
12,Vật lý đại cương 2 (Điện từ - Quang),1,1,Đại cương,2
13,Anh văn 2,1,2,Đại cương,2
14,Đại số tuyến tính,1,1,Đại cương,3
15,Vật lý đại cương 3 (Cơ - Nhiệt nâng cao),1,1,Đại cương,3
16,Thực hành Vật lý đại cương,1,1,Đại cương,3
17,Tin học cơ sở,1,2,Đại cương,3
18,Thể dục 2,1,2,Đại cương,3
19,Anh văn 3,1,2,Đại cương,3
20,Giáo dục quốc phòng – An ninh,1,2,Đại cương,3
21,Chủ nghĩa xã hội khoa học,2,1,Đại cương,1
22,Lịch sử Đảng Cộng sản Việt Nam,2,1,Đại cương,1
23,Kinh tế đại cương ,2,0,Đại cương,1
24,Tâm lý đại cương ,2,0,Đại cương,1
25,Phương pháp luận sáng tạo ,2,0,Đại cương,1
26,Xác suất thống kê,2,1,Đại cương,1
27,Vật lý hiện đại (Lượng tử - Nguyên tử - Hạt nhân),2,1,Đại cương,1
28,Hàm phức,2,1,Cơ sở ngành,1
29,Anh văn 4,2,2,Đại cương,1
30,Tư tưởng Hồ Chí Minh,2,1,Đại cương,2
31,Thực hành vật lý cơ sở,2,1,Đại cương,2
32,Các phương pháp toán lý,2,1,Cơ sở ngành,2
33,Cơ lý thuyết,2,1,Cơ sở ngành,2
34,Cơ lượng tử 1,2,1,Cơ sở ngành,2
35,Khoa học trái đất ,2,0,Đại cương,3
36,Môi trường đại cương ,2,0,Đại cương,3
37,Điện tử cơ bản,2,1,Cơ sở ngành,3
38,Điện động lực,2,1,Cơ sở ngành,3
39,Vật lý thống kê,2,1,Cơ sở ngành,3
40,Kỹ thuật lập trình,2,1,Cơ sở ngành,3
41,Phương pháp tính,3,1,Chuyên ngành hướng 1,1
42,Vật lý hạt nhân,3,1,Chuyên ngành hướng 1,1
43,Cơ lượng tử nâng cao ,3,1,Chuyên ngành hướng 1,1
44,Lập trình hướng đối tượng ,3,0,Chuyên ngành hướng 1,1
45,Mô phỏng và mô hình hóa ,3,0,Chuyên ngành hướng 1,1
46,Vật lý thiên văn ,3,0,Chuyên ngành hướng 1,2
47,Đổi mới sáng tạo ,3,0,Chuyên ngành hướng 1,2
48,Vật lý hạt cơ bản ,3,0,Chuyên ngành hướng 1,2
49,Những vấn đề mới trong vật lý hiện đại ,3,0,Chuyên ngành hướng 1,2
50,Vật lý năng lượng cao ,3,0,Chuyên ngành hướng 1,2
51,Xử lý ảnh ,3,0,Chuyên ngành hướng 1,2
52,Các phương pháp NDT ,3,0,Chuyên ngành hướng 1,2
53,Vật lý môi trường ,3,0,Chuyên ngành hướng 1,2
54,Khoa học dữ liệu ,3,0,Chuyên ngành hướng 1,2
55,Vũ trụ học ,3,0,Chuyên ngành hướng 1,2
56,Tư duy phản biện ,3,0,Chuyên ngành hướng 1,2
57,Trường Vật lý: lý thuyết và ứng dụng,3,1,Chuyên ngành hướng 1,3
58,Trạng thái rắn cơ bản,3,1,Chuyên ngành hướng 1,3
59,Vật lý tính toán,3,1,Chuyên ngành hướng 1,3
60,Lập trình hướng đối tượng ,3,1,Chuyên ngành hướng 2,1
61,Hệ thống số và ứng dụng,3,1,Chuyên ngành hướng 2,1
62,Mô phỏng và mô hình hóa,3,1,Chuyên ngành hướng 2,1
63,Phương pháp tính ,3,0,Chuyên ngành hướng 2,1
64,Vật lý chất rắn ,3,0,Chuyên ngành hướng 2,2
65,Đổi mới sáng tạo ,3,0,Chuyên ngành hướng 2,2
66,Cấu trúc máy tính ,3,0,Chuyên ngành hướng 2,2
67,Xử lý tín hiệu số ,3,0,Chuyên ngành hướng 2,2
68,Khoa học vật liệu và ứng dụng ,3,0,Chuyên ngành hướng 2,2
69,Cảm biến & đo lường ,3,0,Chuyên ngành hướng 2,2
70,Thực tập thực tế ,3,0,Chuyên ngành hướng 2,2
71,Máy học ,3,0,Chuyên ngành hướng 2,2
72,Hệ thống nhúng và IoT ,3,0,Chuyên ngành hướng 2,2
73,Cấu trúc dữ liệu và giải thuật ,3,0,Chuyên ngành hướng 2,2
74,Quang điện tử bán dẫn ,3,0,Chuyên ngành hướng 2,2
75,Kỹ thuật phân tích vật liệu ,3,0,Chuyên ngành hướng 2,2
76,Vật lý linh kiện bán dẫn,3,1,Chuyên ngành hướng 2,3
77,Phân giải mạch,3,1,Chuyên ngành hướng 2,3
78,Công nghệ chế tạo vật liệu ,3,1,Chuyên ngành hướng 2,3
79,Vật lý phóng xạ,4,1,Chuyên ngành hướng 1 VLHN,1
80,Lý thuyết hạt nhân,4,1,Chuyên ngành hướng 1 VLHN,1
81,Phương pháp và thiết bị ghi đo bức xạ hạt nhân,4,1,Chuyên ngành hướng 1 VLHN,1
82,Phân tích thống kê số liệu thực nghiệm hạt nhân,4,1,Chuyên ngành hướng 1 VLHN,1
83,Phương pháp Địa vật lý giếng khoan,4,1,Chuyên ngành hướng 1 VLĐC,1
84,Phương pháp thăm dò địa chấn,4,1,Chuyên ngành hướng 1 VLĐC,1
85,Thăm dò điện từ,4,1,Chuyên ngành hướng 1 VLĐC,1
86,Nhập môn Vật lý hệ nhiều hạt ,4,1,Chuyên ngành hướng 1 VLLT,1
87,Lý thuyết trường lượng tử ,4,0,Chuyên ngành hướng 1 VLLT,1
88,Lý thuyết hạt cơ bản ,4,0,Chuyên ngành hướng 1 VLLT,1
89,Kỹ thuật điện tử ứng dụng,4,1,Chuyên ngành hướng 2 VLĐT,1
90,Thiết kế mạch tích hợp,4,1,Chuyên ngành hướng 2 VLĐT,1
91,Điều khiển thông minh,4,1,Chuyên ngành hướng 2 VLĐT,1
92,Công nghệ chế tạo linh kiện bán dẫn,4,1,Chuyên ngành hướng 2 VLCR,1
93,Vật liệu thông minh và ứng dụng ,4,0,Chuyên ngành hướng 2 VLCR,1
94,Kỹ thuật chế tạo vật liệu nano ,4,0,Chuyên ngành hướng 2 VLCR,1
95,Kỹ thuật siêu âm ,4,0,Chuyên ngành hướng 2 VLCR,1
96,Kỹ thuật phân tích chuyên ngành ,4,0,Chuyên ngành hướng 2 VLCR,1
97,Cơ sở dữ liệu,4,1,Chuyên ngành hướng 2 VLTH,1
98,Lập trình Java ,4,0,Chuyên ngành hướng 2 VLTH,1
99,Thiết kế vi mạch ,4,0,Chuyên ngành hướng 2 VLTH,1
100,Lập trình PLC ,4,0,Chuyên ngành hướng 2 VLTH,1
101,Xử lý ảnh số ,4,0,Chuyên ngành hướng 2 VLTH,1
102,Trí tuệ nhân tạo ,4,0,Chuyên ngành hướng 2 VLTH,1
103,Vật lý chân không và màng mỏng,4,1,Chuyên ngành hướng 2 VLUD,1
104,Thực tập các ứng dụng của vật liệu nano,4,1,Chuyên ngành hướng 2 VLUD,1
105,Quang phổ và ứng dụng,4,1,Chuyên ngành hướng 2 VLUD,1
106,An toàn và liều lượng,4,1,Chuyên ngành hướng 1 VLHN,2
107,Ứng dụng tin học trong vật lý hạt nhân ,4,0,Chuyên ngành hướng 1 VLHN,2
108,Thực tập cơ sở vật lý hạt nhân ,4,0,Chuyên ngành hướng 1 VLHN,2
109,Các phương pháp phân tích hạt nhân ,4,0,Chuyên ngành hướng 1 VLHN,2
110,Máy gia tốc ,4,0,Chuyên ngành hướng 1 VLHN,2
111,Vật lý hạt nhân ứng dụng ,4,0,Chuyên ngành hướng 1 VLHN,2
112,Vật lý neutron và lò phản ứng ,4,0,Chuyên ngành hướng 1 VLHN,2
113,Phương pháp thăm dò từ và trọng lực,4,1,Chuyên ngành hướng 1 VLĐC,2
114,Phân tích dữ liệu Địa vật lý,4,1,Chuyên ngành hướng 1 VLĐC,2
115,Quản lý dữ liệu Vật lý địa cầu trên GIS ,4,0,Chuyên ngành hướng 1 VLĐC,2
116,Khoa học trái đất nâng cao ,4,0,Chuyên ngành hướng 1 VLĐC,2
117,Lý thuyết tương đối ,4,1,Chuyên ngành hướng 1 VLLT,2
118,Các phương pháp gần đúng trong cơ lượng tử,4,1,Chuyên ngành hướng 1 VLLT,2
119,Quang bán dẫn ,4,0,Chuyên ngành hướng 1 VLLT,2
120,Quang lượng Tử ,4,0,Chuyên ngành hướng 1 VLLT,2
121,Mạng nơ-ron,4,1,Chuyên ngành hướng 2 VLĐT,2
122,Linh kiện vi điện tử tích hợp ,4,0,Chuyên ngành hướng 2 VLĐT,2
123,Điện tử y – sinh ,4,0,Chuyên ngành hướng 2 VLĐT,2
124,Thị giác máy tính ,4,0,Chuyên ngành hướng 2 VLĐT,2
125,Robot điện tử ,4,0,Chuyên ngành hướng 2 VLĐT,2
126,Điện tử công suất ,4,0,Chuyên ngành hướng 2 VLĐT,2
127,Đồ án chuyên đề ,4,0,Chuyên ngành hướng 2 VLĐT,2
128,Hệ thống năng lượng tái tạo ,4,0,Chuyên ngành hướng 2 VLĐT,2
129,Hệ vi cơ điện tử (MEMS) ,4,0,Chuyên ngành hướng 2 VLĐT,2
130,Tính chất đặc trưng vật liệu,4,1,Chuyên ngành hướng 2 VLCR,2
131,Thực tập chuyên ngành ,4,1,Chuyên ngành hướng 2 VLCR,2
132,Tính chất quang của vật rắn ,4,0,Chuyên ngành hướng 2 VLCR,2
133,Kỹ thuật nuôi tinh thể ,4,0,Chuyên ngành hướng 2 VLCR,2
134,Ứng dụng máy tính trong chuyên ngành  ,4,0,Chuyên ngành hướng 2 VLCR,2
135,Thị giác máy tính ,4,0,Chuyên ngành hướng 2 VLTH,2
136,Mạng máy tính ,4,0,Chuyên ngành hướng 2 VLTH,2
137,Phát triển ứng dụng web ,4,0,Chuyên ngành hướng 2 VLTH,2
138,Lập trình trên thiết bị di động ,4,0,Chuyên ngành hướng 2 VLTH,2
139,Kiểm thử phần mềm ,4,0,Chuyên ngành hướng 2 VLTH,2
140,Chuyên đề mới ,4,0,Chuyên ngành hướng 2 VLTH,2
141,Vật lý laser và quang tử học,4,1,Chuyên ngành hướng 2 VLUD,2
142,Quang phi tuyến,4,1,Chuyên ngành hướng 2 VLUD,2
143,Thực tập các ứng dụng laser,4,1,Chuyên ngành hướng 2 VLUD,2
144,Thực tập phân tích quang phổ,4,1,Chuyên ngành hướng 2 VLUD,2
145,Khóa luận tốt nghiệp,4,0,Tốt nghiệp,3
146,Đồ án tốt nghiệp,4,0,Tốt nghiệp,3
147,Học 4TC trong các môn tự chọn,4,0,Tốt nghiệp,3
